Date,Entity,Denomination,Cumulative
2019,AAM AADMI PARTY,2.2,2.2
2019,YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,8.25,8.25
2019,TELUGU DESAM PARTY,7.3,7.3
2019,SHIVSENA,33.38000000000001,33.38000000000001
2019,SHIROMANI AKALI DAL,6.759999999999998,6.759999999999998
2019,RASTRIYA JANTA DAL,2.5000000000000004,2.5000000000000004
2019,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",170.31099999999998,170.31099999999998
2019,NATIONALIST CONGRESS PARTY PARLIAMENT OF,14.999999999999998,14.999999999999998
2019,NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH,0.5,0.5
2019,JANATA DAL ( SECULAR ),2.5000000000000004,2.5000000000000004
2019,JHARKHAND MUKTI MORCHA,1.0,1.0
2019,DMK PARTY IN PARLIAMENT,9.0,9.0
2019,BIJU JANATA DAL,10.0,10.0
2019,BIHAR PRADESH JANTA DAL(UNITED),3.0,3.0
2019,BHARTIYA JANTA PARTY,1971.7500999999997,1971.7500999999997
2019,BHARAT RASHTRA SAMITHI,37.152899999999995,37.152899999999995
2019,ALL INDIA TRINAMOOL CONGRESS,87.0946,87.0946
2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,6.049999999999999,6.049999999999999
2019,ADYAKSHA SAMAJVADI PARTY,10.84,10.84
2019,JAMMU AND KASHMIR NATIONAL CONFERENCE,0.5,0.5
2020,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",9.0,179.31099999999998
2020,YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,89.0,97.25
2020,RASTRIYA JANTA DAL,1.0,3.5000000000000004
2020,DMK PARTY IN PARLIAMENT,80.0,89.0
2020,BIHAR PRADESH JANTA DAL(UNITED),1.0,4.0
2020,BHARTIYA JANTA PARTY,73.89,2045.6400999999998
2020,ALL INDIA TRINAMOOL CONGRESS,29.77000000000001,116.86460000000001
2020,AAM AADMI PARTY,3.3,5.5
2020,BIJU JANATA DAL,77.0,87.0
2021,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",123.92449999999998,303.23549999999994
2021,YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,66.25,163.5
2021,TELUGU DESAM PARTY,3.5,10.8
2021,NATIONALIST CONGRESS PARTY PARLIAMENT OF,3.8000000000000003,18.799999999999997
2021,DMK PARTY IN PARLIAMENT,205.0,294.0
2021,BIJU JANATA DAL,241.0,328.0
2021,BHARTIYA JANTA PARTY,372.995,2418.6350999999995
2021,BHARAT RASHTRA SAMITHI,153.0,190.1529
2021,ALL INDIA TRINAMOOL CONGRESS,330.943,447.8076
2021,AAM AADMI PARTY,1.8500000000000003,7.3500000000000005
2022,NATIONALIST CONGRESS PARTY PARLIAMENT OF,10.2,29.0
2022,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",289.35999999999996,592.5954999999999
2022,SHIROMANI AKALI DAL,0.5,7.259999999999998
2022,MAHARASHTRAWADI GOMNTAK PARTY,0.55,0.55
2022,SIKKIM KRANTIKARI MORCHA,2.0,2.0
2022,TELUGU DESAM PARTY,13.0,23.8
2022,YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,51.999999999999986,215.5
2022,SHIVSENA,29.0,62.38000000000001
2022,JANASENA PARTY,2.0,2.0
2022,BHARAT RASHTRA SAMITHI,528.987,719.1398999999999
2022,DMK PARTY IN PARLIAMENT,285.0,579.0
2022,BIJU JANATA DAL,195.0,523.0
2022,BIHAR PRADESH JANTA DAL(UNITED),10.0,14.0
2022,BHARTIYA JANTA PARTY,1763.5499,4182.1849999999995
2022,ALL INDIA TRINAMOOL CONGRESS,468.79999999999995,916.6075999999999
2022,ADYAKSHA SAMAJVADI PARTY,3.21,14.05
2022,AAM AADMI PARTY,47.95,55.300000000000004
2022,GOA FORWARD PARTY,0.35000000000000003,0.35000000000000003
2023,YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,118.5,334.0
2023,TELUGU DESAM PARTY,76.87999999999997,100.67999999999996
2023,SIKKIM KRANTIKARI MORCHA,31.500000000000004,33.5
2023,SIKKIM DEMOCRATIC FRONT,5.0,5.0
2023,SHIVSENA,72.00139999999999,134.38139999999999
2023,RASTRIYA JANTA DAL,54.0,57.5
2023,RASHTRIYA JANTA DAL,1.0,1.0
2023,NATIONALIST CONGRESS PARTY PARLIAMENT OF,1.5,30.5
2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",793.37,1385.9654999999998
2023,JANATA DAL ( SECULAR ),41.0,43.5
2023,JANASENA PARTY,2.0,4.0
2023,DMK PARTY IN PARLIAMENT,40.0,619.0
2023,BIJU JANATA DAL,252.5,775.5
2023,BHARTIYA JANTA PARTY,1676.3260999999998,5858.5111
2023,BHARAT RASHTRA SAMITHI,495.56999999999994,1214.7098999999998
2023,ALL INDIA TRINAMOOL CONGRESS,562.4738,1479.0814
2023,AAM AADMI PARTY,10.15,65.45
2023,JHARKHAND MUKTI MORCHA,12.5,13.5
2024,SIKKIM KRANTIKARI MORCHA,3.0,36.5
2024,SIKKIM DEMOCRATIC FRONT,0.5,5.5
2024,SHIVSENA,25.0,159.38139999999999
2024,RASTRIYA JANTA DAL,15.0,72.5
2024,ALL INDIA TRINAMOOL CONGRESS,130.45,1609.5313999999998
2024,JANASENA PARTY,17.000000000000007,21.000000000000007
2024,DMK PARTY IN PARLIAMENT,20.0,639.0
2024,BHARTIYA JANTA PARTY,202.0,6060.5111
2024,TELUGU DESAM PARTY,118.2,218.87999999999997
2024,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",35.900000000000006,1421.8654999999999
2024,YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,3.0,337.0
